Field Name | _scalaStruct | Enumerations | Examples | Descriptions | Data Point Name
"Debt-to-Income Ratio"         | lar.loan.debtToIncomeRatio |  NA, Exempt |42.95, -42.95||
"Combined Loan-to-Value Ratio" | lar.loan.combinedLoanToValueRatio |  NA, Exempt |80.05||
"Loan Term"        | lar.loan.loanTerm |  NA, Exempt |360| |
"Introductory Rate Period"     | lar.loan.introductoryRatePeriod |  NA, Exempt |24||
"Balloon Payment"  | lar.nonAmortizingFeatures.balloonPayment.code.toString | 1 - Balloon payment, 2 - No balloon payment , 1111 - Exempt, |||  Non{hyphen}Amortizing Features
"Interest-Only Payments"       | lar.nonAmortizingFeatures.interestOnlyPayments.code.toString |1 - Interest{hyphen}only payments, 2 - No interest{hyphen}only payments , 1111 - Exempt, ||| Non{hyphen}Amortizing Features
"Negative Amortization"        | lar.nonAmortizingFeatures.negativeAmortization.code.toString |1 - Negative amortization, 2 - No negative amortization , 1111 - Exempt, ||| Non{hyphen}Amortizing Features
"Other Non-amortizing Features"| lar.nonAmortizingFeatures.otherNonAmortizingFeatures.code.toString | 1 - Other non{hyphen}fully amortizing features , 2 - No other non{hyphen}fully amortizing features , 1111 - Exempt, |||  Non{hyphen}Amortizing Features
"Property Value"   | lar.property.propertyValue |  NA, Exempt |350500||
"Manufactured Home Secured Property Type"    | lar.property.manufacturedHomeSecuredProperty.code.toString | 1 - Manufactured home and land, 2 - Manufactured home and not land , 3 - Not applicable, 1111 - Exempt, | |
"Manufactured Home Land Property Interest"   | lar.property.manufacturedHomeLandPropertyInterest.code.toString | 1 - Direct ownership, 2 - Indirect ownership, 3 - Paid leasehold, 4 - Unpaid leasehold, 5 - Not applicable , 1111 - Exempt, | ||
"Total Units"      | lar.property.totalUnits.toString || 5 | |
"Multifamily Affordable Units" | lar.property.multiFamilyAffordableUnits |  NA, Exempt |5||
"Submission of Application"    | lar.applicationSubmission.code.toString | 1 - Submitted directly to your institution, 2 - Not submitted directly to your institution, 3 - Not applicable, 1111 - Exempt, ||| Application Channel
"Initially Payable to Your Institution"      | lar.payableToInstitution.code.toString | 1 - Initially payable to your institution, 2 -  Not initially payable to your institution, 3 - Not applicable, 1111 - Exempt ||| Application Channel
"NMLSR ID"         | lar.larIdentifier.NMLSRIdentifier |  NA, Exempt |123450|| Mortgage Loan Originator NMLSR Identifier
"Automated Underwriting System: 1" | lar.AUS.aus1.code.toString | 1 -  Desktop Underwriter (DU), 2 -  Loan Prospector (LP) or Loan Product Advisor, 3 -  Technology Open to Approved Lenders (TOTAL) Scorecard, 4 -  Guaranteed Underwriting System 6 (GUS), 5 -  Other, 6 -  Not applicable, 7 -  Internal Proprietary System, 1111 -  Exempt, ||| Automated Underwriting System
"Automated Underwriting System: 2" | lar.AUS.aus2.code.toString | 1 -  Desktop Underwriter (DU), 2 -  Loan Prospector (LP) or Loan Product Advisor, 3 -  Technology Open to Approved Lenders (TOTAL) Scorecard, 4 -  Guaranteed Underwriting System 6 (GUS), 5 -  Other, 7 -  Internal Proprietary System ||| Automated Underwriting System
"Automated Underwriting System: 3" | lar.AUS.aus3.code.toString | 1 -  Desktop Underwriter (DU), 2 -  Loan Prospector (LP) or Loan Product Advisor, 3 -  Technology Open to Approved Lenders (TOTAL) Scorecard, 4 -  Guaranteed Underwriting System 6 (GUS), 5 -  Other, 7 -  Internal Proprietary System ||| Automated Underwriting System
"Automated Underwriting System: 4" | lar.AUS.aus4.code.toString | 1 -  Desktop Underwriter (DU), 2 -  Loan Prospector (LP) or Loan Product Advisor, 3 -  Technology Open to Approved Lenders (TOTAL) Scorecard, 4 -  Guaranteed Underwriting System 6 (GUS), 5 -  Other, 7 -  Internal Proprietary System ||| Automated Underwriting System
"Automated Underwriting System: 5" | lar.AUS.aus5.code.toString | 1 -  Desktop Underwriter (DU), 2 -  Loan Prospector (LP) or Loan Product Advisor, 3 -  Technology Open to Approved Lenders (TOTAL) Scorecard, 4 -  Guaranteed Underwriting System 6 (GUS), 5 -  Other, 7 -  Internal Proprietary System ||| Automated Underwriting System
"Automated Underwriting System: Conditional Free Form Text Field for Code 5"         | lar.AUS.otherAUS ||| Specify in text the Other Automated Underwriting System(s) if 5 is entered. Otherwise{comma} leave this data field blank. | Automated Underwriting System  
"Automated Underwriting System Result: 1"    | lar.ausResult.ausResult1.code.toString | 1 -  Approve/Eligible, 2 -  Approve/Ineligible , 3 -  Refer/Eligible, 4 -  Refer/Ineligible, 5 -  Refer with Caution , 6 -  Out of Scope, 7 -  Error, 8 -  Accept, 9 -  Caution , 10 -  Ineligible, 11 -  Incomplete, 12 -  Invalid, 13 -  Refer, 14 -  Eligible, 15 -  Unable to Determine or Unknown, 16 -  Other, 17 -  Not Applicable, 18 -  Accept/Eligible, 19 -  Accept/Ineligible, 20 -  Accept/Unable to Determine, 21 -  Refer with Caution/Eligible, 22 -  Refer with Caution/Ineligible, 23 -  Refer/Unable to Determine, 24 -  Refer with Caution/Unable to Determine, 1111 -  Exempt, |||  Automated Underwriting System
"Automated Underwriting System Result: 2"    | lar.ausResult.ausResult2.code.toString | 1 -  Approve/Eligible, 2 -  Approve/Ineligible , 3 -  Refer/Eligible, 4 -  Refer/Ineligible, 5 -  Refer with Caution , 6 -  Out of Scope, 7 -  Error, 8 -  Accept, 9 -  Caution , 10 -  Ineligible, 11 -  Incomplete, 12 -  Invalid, 13 -  Refer, 14 -  Eligible, 15 -  Unable to Determine or Unknown, 16 -  Other, 17 -  Not Applicable, 18 -  Accept/Eligible, 19 -  Accept/Ineligible, 20 -  Accept/Unable to Determine, 21 -  Refer with Caution/Eligible, 22 -  Refer with Caution/Ineligible, 23 -  Refer/Unable to Determine, 24 - Refer with Caution/Unable to Determine||If this data field does not contain an entry{comma} leave it blank|  Automated Underwriting System
"Automated Underwriting System Result: 3"    | lar.ausResult.ausResult3.code.toString | 1 -  Approve/Eligible, 2 -  Approve/Ineligible , 3 -  Refer/Eligible, 4 -  Refer/Ineligible, 5 -  Refer with Caution , 6 -  Out of Scope, 7 -  Error, 8 -  Accept, 9 -  Caution , 10 -  Ineligible, 11 -  Incomplete, 12 -  Invalid, 13 -  Refer, 14 -  Eligible, 15 -  Unable to Determine or Unknown, 16 -  Other, 17 -  Not Applicable, 18 -  Accept/Eligible, 19 -  Accept/Ineligible, 20 -  Accept/Unable to Determine, 21 -  Refer with Caution/Eligible, 22 -  Refer with Caution/Ineligible, 23 -  Refer/Unable to Determine, 24 - Refer with Caution/Unable to Determine||If this data field does not contain an entry{comma} leave it blank|  Automated Underwriting System
"Automated Underwriting System Result: 4"    | lar.ausResult.ausResult4.code.toString | 1 -  Approve/Eligible, 2 -  Approve/Ineligible , 3 -  Refer/Eligible, 4 -  Refer/Ineligible, 5 -  Refer with Caution , 6 -  Out of Scope, 7 -  Error, 8 -  Accept, 9 -  Caution , 10 -  Ineligible, 11 -  Incomplete, 12 -  Invalid, 13 -  Refer, 14 -  Eligible, 15 -  Unable to Determine or Unknown, 16 -  Other, 17 -  Not Applicable, 18 -  Accept/Eligible, 19 -  Accept/Ineligible, 20 -  Accept/Unable to Determine, 21 -  Refer with Caution/Eligible, 22 -  Refer with Caution/Ineligible, 23 -  Refer/Unable to Determine, 24 - Refer with Caution/Unable to Determine||If this data field does not contain an entry{comma} leave it blank|  Automated Underwriting System
"Automated Underwriting System Result: 5"    | lar.ausResult.ausResult5.code.toString | 1 -  Approve/Eligible, 2 -  Approve/Ineligible , 3 -  Refer/Eligible, 4 -  Refer/Ineligible, 5 -  Refer with Caution , 6 -  Out of Scope, 7 -  Error, 8 -  Accept, 9 -  Caution , 10 -  Ineligible, 11 -  Incomplete, 12 -  Invalid, 13 -  Refer, 14 -  Eligible, 15 -  Unable to Determine or Unknown, 16 -  Other, 17 -  Not Applicable, 18 -  Accept/Eligible, 19 -  Accept/Ineligible, 20 -  Accept/Unable to Determine, 21 -  Refer with Caution/Eligible, 22 -  Refer with Caution/Ineligible, 23 -  Refer/Unable to Determine, 24 - Refer with Caution/Unable to Determine||If this data field does not contain an entry{comma} leave it blank|  Automated Underwriting System
"Automated Underwriting System Result: Conditional Free Form Text Field for Code 16" | lar.ausResult.otherAusResult ||| Specify in text the Other Automated Underwriting System Result(s) if 16 is entered. Otherwise{comma} leave this data field blank. | Automated Underwriting System 
"Reverse Mortgage" | lar.reverseMortgage.code.toString | 1 - Reverse mortgage ,  2 - Not a reverse mortgage, 1111 - Exempt, | ||
"Open-End Line of Credit"      | lar.lineOfCredit.code.toString | 1 - Open{hyphen}end line of credit, 2 - Not an open{hyphen}end line of credit, 1111 - Exempt, ||| 
"Business or Commercial Purpose"   | lar.businessOrCommercialPurpose.code.toString | 1 - Primarily for a business or commercial purpose, 2 - Not primarily for a business or commercial purpose , 1111 - Exempt, |||
